"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2452,5463,2822,1025,1100,1075,2,300,5,0,1969,1,28,55
2453,5463,2822,1250,1300,1270,2,300,5,0,1969,1,28,55
2454,5503,2950,1100,1250,1150,1,670,1,10,1948,2,29,56
2455,2156,1916,1150,1250,1200,1,-1,1,5,2006,1,19,21
2456,1134,1790,1100,1200,1150,2,-1,6,0,2024,1,18,10
2457,11248,6405,1250,1300,1270,2,100,6,0,1913,1,66,117
2458,11137,6214,1100,1200,1175,1,150,1,4,1952,1,64,116
2459,11046,6165,1150,1200,1175,1,2500,1,12,1960,3,64,115
2460,11024,6094,1150,1200,1175,2,150,5,0,1966,1,63,115
2461,10951,5884,1200,1300,1270,1,4410,1,41,2056,9,61,114
2462,10846,5724,1200,1300,1270,1,500,1,5,2063,1,59,113
2463,9943,241,1000,1150,1075,1,60,1,2,2178,1,1,103
2464,9855,151,1100,1250,1150,2,200,6,0,2181,1,1,102
2465,9795,76,1050,1200,1175,2,150,4,1,2176,1,0,102
2466,9866,224,850,950,900,2,75,6,0,2179,1,1,103
2467,9866,224,1075,1150,1125,2,75,6,0,2179,1,1,103
2468,9776,350,1000,1150,1100,1,200,3,1,2172,1,3,102
2469,9414,448,1150,1200,1175,2,75,6,0,2169,1,4,98
2470,9368,700,1100,1150,1125,1,200,1,5,2140,1,6,97
2471,9399,637,1150,1200,1175,2,60,4,0,2147,1,6,98
2472,8995,422,850,1025,1000,2,100,5,0,2155,1,3,93
2473,8995,422,1100,1150,1125,2,100,5,0,2155,1,3,93
2474,9211,549,950,1100,1025,2,100,5,0,2144,1,5,96
2475,9263,235,1000,1150,1050,2,1800,5,0,2162,1,1,96
2476,9289,526,1000,1100,1075,2,60,5,0,2150,1,5,96
2477,9289,526,1150,1200,1175,2,60,5,0,2150,1,5,96
2478,10292,419,800,1000,900,1,100,3,1,2143,1,3,107
2479,10292,419,1075,1150,1100,2,100,6,0,2143,1,3,107
2480,10599,1408,1000,1150,1075,1,800,1,5,2218,1,14,110
2482,10597,1353,1000,1300,1150,2,100,6,0,2217,1,13,110
2483,10461,1440,1000,1175,1100,2,200,5,0,2209,1,14,109
2485,10033,1263,1050,1300,1175,2,50,6,0,2191,1,12,104
2487,9811,1433,1100,1270,1150,2,1000,6,0,2181,1,14,102
2488,10564,1870,1075,1150,1125,2,100,6,0,2159,1,19,110
2489,10240,1475,1100,1150,1125,2,25,6,0,2198,1,15,107
2491,7771,1289,550,700,650,2,250,5,0,1935,1,13,80
2492,7771,1289,1050,1270,1150,1,250,1,2,1935,1,13,80
2493,8089,2915,950,1075,1000,1,117,1,4,1923,1,29,84
2494,3615,4233,1100,1300,1175,2,600,4,1,2112,1,43,37
2495,7866,2604,1000,1150,1050,2,1250,6,0,1924,1,26,81
2496,3688,4218,1075,1150,1100,2,300,4,1,2108,1,43,37
2497,7622,2591,850,1000,900,2,2000,6,0,1923,1,26,79
2498,7622,2591,1200,1300,1225,2,2000,6,0,1923,1,26,79
2499,3905,4120,1075,1200,1150,2,100,4,1,2106,1,42,40
2500,7872,2915,1075,1250,1150,2,100,6,0,1917,1,29,81
2501,3867,4119,1050,1150,1100,2,60,6,0,2105,1,42,39
2502,7829,3049,1000,1300,1100,2,800,6,0,1915,1,31,81
2503,3391,3776,1000,1250,1100,2,500,4,0,1996,1,38,34
2504,3327,3491,1000,1150,1075,1,500,1,8,1983,2,35,34
2505,2852,4034,850,1000,900,2,400,6,0,2166,1,41,29
2506,2852,4034,1075,1150,1100,1,400,1,2,2166,1,41,29
2507,4055,3233,1025,1300,1150,2,100,6,0,1963,1,32,41
2508,2675,4069,550,850,650,2,710,5,0,2170,1,41,27
2509,4809,3539,1000,1150,1100,1,400,1,2,1960,1,36,48
2510,1959,3507,1000,1125,1075,1,70,1,2,2135,1,35,19
2511,4907,3518,1075,1150,1100,-1,600,5,0,1957,1,36,50
2512,2916,3616,1150,1200,1175,1,1000,1,10,2091,2,37,29
2513,5545,3385,850,1150,1100,1,-1,1,10,1940,2,34,56
2514,2852,3611,500,650,600,1,9,3,1,2094,1,37,29
2515,5612,3382,1000,1150,1075,2,10,7,0,1939,0,34,57
2517,9439,1414,1075,1150,1125,2,140,4,1,2155,1,14,98
2518,2329,3324,850,1000,950,1,600,4,0,2112,1,33,23
2520,9371,1430,850,1025,950,2,400,6,0,2149,1,14,97
2521,2295,3280,950,1175,1000,1,1200,1,5,2112,1,33,23
2522,2216,1976,1000,1150,1100,1,400,1,5,2007,1,20,22
2523,6167,3966,850,1100,900,1,300,3,1,2028,1,40,63
2525,2916,3616,950,1025,975,2,1000,6,0,2091,1,37,29
2526,3128,2880,1050,1150,1100,2,900,4,2,1981,1,29,31
2527,3000,2963,1050,1150,1100,2,150,4,1,1984,1,30,30
2528,2960,3006,1000,1075,1000,2,200,5,0,1984,1,30,30
2529,2960,3006,1225,1300,1270,2,200,4,1,1984,1,30,30
2530,2948,3041,1050,1175,1125,2,135,4,1,1984,1,30,30
2531,2052,2149,1050,1125,1075,2,100,6,0,2006,1,22,20
2532,2408,2452,1050,1150,1075,-1,225,6,-1,1996,1,24,24
2533,2554,2462,950,1150,1050,2,800,5,0,1996,1,24,25
2534,7020,3454,850,1150,900,2,225,6,0,1925,1,35,72
2535,2169,2546,1000,1300,1150,2,200,6,0,2001,1,25,21
2536,2323,2786,1075,1125,1100,2,150,6,0,1998,1,28,23
2537,2382,2841,1075,1200,1175,2,300,4,3,2000,1,28,24
2538,2747,3108,1075,1125,1100,2,25,6,0,1987,1,31,27
2539,2263,2573,1100,1200,1150,2,25,6,0,1999,1,25,22
2540,3024,2841,850,950,900,-1,-1,6,-1,1986,1,28,30
2541,4039,3160,600,850,650,-1,200,6,0,1964,1,32,41
2542,4039,3160,1175,1300,1250,2,200,6,0,1963,1,32,41
2543,5143,2960,1075,1175,1125,2,1000,6,0,1950,1,30,52
2544,5360,3012,850,1000,900,-1,-1,6,0,1947,1,30,54
2545,5260,3009,850,1025,900,2,2,6,0,1946,1,30,53
2546,7492,3947,1000,1075,1025,2,400,6,0,1921,1,40,77
2547,7507,3872,1000,1125,1100,-1,-1,6,-1,1919,1,39,77
2548,2571,2590,850,1300,1075,-1,25,6,0,1995,1,26,26
2549,2908,2790,600,700,650,-1,-1,6,0,1986,1,28,29
2550,6641,3440,1150,1225,1175,1,500,1,4,1928,1,35,68
