"year","general","north","mid","natural","upland","kinbiko"
934,-0.18300001,0,0,-0.18300001,-0.18300001,0
935,-3.004,0,0,-3.004,-3.004,0
936,0.988,0,0,0.988,0.988,0
937,-1.3939999,0,0,-1.3939999,-1.3939999,0
938,2.47,0,0,2.47,2.47,0
939,-1.26,0,0,-1.26,-1.26,0
940,0.32700002,0,0,0.32700002,0.32700002,0
941,-0.072,0,0,-0.072,-0.072,0
942,1.31,0,0,1.31,1.31,0
943,-2.1929998,0,0,-2.1929998,-2.1929998,0
944,-0.91599995,0,0,-0.91599995,-0.91599995,0
945,1.41,0,0,1.41,1.41,0
946,1.443,0,0,1.443,1.443,0
947,1.116,0,0,1.116,1.116,0
948,0.33900002,0,0,0.33900002,0.33900002,0
949,2.026,0,0,2.026,2.026,0
950,1.5539999,0,0,1.5539999,1.5539999,0
951,-4.147,0,0,-4.147,-4.147,0
952,1.593,0,0,1.593,1.593,0
953,1.305,0,0,1.305,1.305,0
954,-4.3190002,0,0,-4.3190002,-4.3190002,0
955,-0.472,0,0,-0.472,-0.472,0
956,1.021,0,0,1.021,1.021,0
957,-2.526,0,0,-2.526,-2.526,0
958,-0.117,0,0,-0.117,-0.117,0
959,0.289,0,0,0.289,0.289,0
960,2.6979997,0,0,2.6979997,2.6979997,0
961,-0.639,0,0,-0.639,-0.639,0
962,0.566,0,0,0.566,0.566,0
963,-0.683,0,0,-0.683,-0.683,0
964,-2.443,0,0,-2.443,-2.443,0
965,-0.42200002,0,0,-0.42200002,-0.42200002,0
966,3.103,0,0,3.103,3.103,0
967,-1.2770001,0,0,-1.2770001,-1.2770001,0
968,-4.408,0,0,-4.408,-4.408,0
969,-2.232,0,0,-2.232,-2.232,0
970,1.0710001,2,0,1.0710001,1.0710001,2
971,1.199,2,0,1.199,1.199,2
972,-3.586,2,0,-3.586,-3.586,2
973,5.979,2,0,5.979,5.979,2
974,-0.672,2,2,-0.672,-0.672,2
975,-2.332,2,2,-2.332,-2.332,2
976,-1.582,2,2,-1.582,-1.582,2
977,1.732,2,2,1.732,1.732,2
978,-2.532,2,2,-2.532,-2.532,2
979,-0.555,2,2,-0.555,-0.555,2
980,-5.507,2,2,-5.507,-5.507,2
981,-3.4420002,2,2,-3.4420002,-3.4420002,2
982,1.9489999,2,2,1.9489999,1.9489999,2
983,-2.221,2,2,-2.221,-2.221,2
984,-1.915,2,2,-1.915,-1.915,2
985,1.194,2,2,1.194,1.194,2
986,1.477,2,2,1.477,1.477,2
987,4.613,2,2,4.613,4.613,2
988,5.829,2,2,5.829,5.829,2
989,8.033,2,2,8.033,8.033,2
990,-1.4269999,2,2,-1.4269999,-1.4269999,2
991,-5.2019997,2,2,-5.2019997,-5.2019997,2
992,-2.537,2,2,-2.537,-2.537,2
993,-2.92,2,2,-2.92,-2.92,2
994,4,2,2,2,2,2
995,4,2,2,2,2,2
996,4,2,2,2,2,2
997,4,2,2,2,2,2
